RecordID,BusID,Date,Time,NumberOfRiders,RiderID
136,3,2024-01-04,15:04,41,36
137,15,2023-12-22,12:15,40,37
138,21,2023-12-11,20:49,35,38
139,20,2023-12-25,14:22,21,39
140,35,2023-12-17,22:12,27,40
141,38,2023-12-28,23:45,45,41
142,24,2023-12-24,6:25,47,42
143,38,2023-12-11,19:48,28,43
144,5,2023-12-09,21:54,47,44
145,23,2023-12-27,8:38,22,45
146,35,2024-01-02,21:50,48,46
147,3,2023-12-28,9:48,22,47
148,4,2023-12-13,8:02,38,48
149,8,2024-01-02,15:38,42,49
150,28,2023-12-30,11:41,40,50
151,28,2023-12-16,13:52,23,51
152,3,2023-12-24,17:07,39,52
153,33,2023-12-10,14:46,47,53
154,25,2024-01-02,11:01,27,54
155,31,2023-12-27,10:19,45,55
156,37,2024-01-03,11:23,27,56
157,38,2023-12-10,8:19,37,57
158,29,2023-12-08,9:08,30,58
159,23,2023-12-17,10:28,22,59
160,5,2023-12-19,9:31,24,60
161,10,2024-01-02,10:14,53,61
162,39,2023-12-20,11:42,30,62
163,36,2023-12-09,7:08,37,63
164,34,2023-12-25,23:48,59,64
165,14,2023-12-18,23:46,32,65
166,25,2023-12-17,22:06,37,66
167,2,2023-12-29,12:23,29,67
168,25,2023-12-29,18:52,27,68
169,7,2023-12-14,18:15,23,69
170,7,2023-12-10,23:40,22,70
171,7,2023-12-24,13:28,30,71
172,11,2023-12-18,6:08,35,72
173,3,2023-12-30,23:41,43,73
174,37,2023-12-15,21:03,18,74
175,18,2023-12-31,6:50,25,75
176,13,2023-12-19,16:44,30,76
177,27,2023-12-26,23:16,17,77
178,40,2023-12-17,13:21,38,78
179,7,2023-12-14,11:09,31,79
180,21,2024-01-01,15:43,42,80
181,16,2023-12-25,10:10,36,81
182,2,2024-01-03,20:57,44,82
183,9,2023-12-11,20:57,36,83
184,21,2023-12-11,8:16,42,84
185,4,2024-01-06,22:06,31,85
186,31,2023-12-11,14:39,26,86
187,25,2023-12-26,11:14,27,87
188,28,2023-12-07,9:46,36,88
189,18,2024-01-02,18:56,36,89
190,29,2023-12-28,8:45,22,90
191,18,2023-12-07,23:36,20,91
192,36,2023-12-18,6:47,39,92
193,32,2024-01-01,21:40,60,93
194,31,2023-12-10,16:56,25,94
195,8,2023-12-17,23:57,32,95
196,1,2023-12-15,10:26,30,96
197,29,2023-12-22,6:34,26,97
198,21,2023-12-09,9:18,46,98
199,6,2023-12-20,9:06,22,99
200,4,2023-12-13,23:16,53,100
